Conexões Internet Ativas (servidores e estabelecidas)
Proto Recv-Q Send-Q Endereço Local          Endereço Remoto         Estado       PID/Program name    
udp        0      0 224.0.0.251:5353        0.0.0.0:*                           2636/chrome --type= 
udp        0      0 224.0.0.251:5353        0.0.0.0:*                           2597/chrome         
udp        0      0 224.0.0.251:5353        0.0.0.0:*                           2636/chrome --type= 
udp        0      0 0.0.0.0:5353            0.0.0.0:*                           -                   
udp        0      0 0.0.0.0:54577           0.0.0.0:*                           -                   
udp        0      0 127.0.0.53:53           0.0.0.0:*                           -                   
udp        0      0 0.0.0.0:68              0.0.0.0:*                           -                   
udp        0      0 0.0.0.0:631             0.0.0.0:*                           -                   
udp6       0      0 :::5353                 :::*                                -                   
udp6       0      0 :::43309                :::*                                -                   
